83,98,1
2,2,0
207,250,1
189,25,1
0,54,1
27,132,1
84,172,1
235,225,1
205,162,1
224,91,1
193,185,1
134,146,1
166,13,1
188,207,1
106,0,0
136,208,1
197,173,1
81,164,1
218,68,1
158,70,1
25,229,1
179,209,1
172,196,1
188,175,1
18,200,1
206,90,1
36,208,1
45,111,1
111,30,1
123,104,1
2,148,1
3,193,1
24,77,1
55,59,1
68,27,1
193,13,1
134,61,1
48,62,1
145,164,1
37,131,1
63,12,0
155,73,1
85,67,1
161,156,1
42,132,1
193,160,1
58,45,1
204,223,1
7,79,1
152,157,1
205,35,0
186,115,1
229,16,1
77,170,1
97,125,1
70,103,1
233,48,1
157,97,1
179,1,0
85,179,1
208,49,1
205,155,1
164,1,0
151,143,1
122,57,1
137,34,0
41,11,0
89,5,1
3,123,1
61,195,1
222,144,1
192,233,1
97,145,1
122,169,1
234,239,1
99,198,1
137,179,1
130,7,1
76,192,1
182,50,1
25,229,1
159,230,1
181,134,1
11,132,1
127,115,1
240,122,1
12,232,1
220,46,1
162,42,1
125,213,1
26,48,0
172,3,1
87,166,1
198,189,1
123,55,1
233,138,1
97,215,1
212,194,1
9,248,1
119,120,1
43,96,1
184,228,1
144,221,1
48,225,1
71,3,0
90,246,1
93,138,1
26,44,1
21,12,0
140,114,1
160,223,1
62,156,1
176,164,1
196,11,1
119,65,1
80,119,1
52,171,1
239,128,1
64,2,1
230,20,1
136,18,0
107,149,1
147,51,1
57,49,1
159,215,1
179,0,0
55,143,1
68,8,0
112,55,1
170,225,1
133,142,1
215,7,1
219,170,1
135,76,1
152,226,1
57,201,1
9,99,1
40,199,1
