65,83,1
222,224,1
25,72,1
23,115,1
162,40,1
90,183,1
92,123,1
112,143,1
180,227,1
223,187,1
43,42,1
14,70,1
70,12,0
89,242,1
20,94,1
89,191,1
151,239,1
30,15,0
226,61,1
63,22,0
222,38,1
101,138,1
154,179,1
35,191,0
231,171,1
183,29,1
211,174,1
230,63,1
153,50,1
108,187,1
177,7,0
56,17,0
219,173,1
109,71,1
128,55,1
173,198,1
51,224,1
207,106,1
193,124,1
159,201,1
47,68,1
173,141,1
82,115,1
186,85,1
236,15,1
212,202,1
216,129,1
37,63,0
5,199,1
39,155,1
56,236,1
77,107,1
134,112,1
49,237,1
158,6,1
184,49,1
40,70,0
236,136,1
34,25,0
189,52,1
145,17,1
149,44,1
174,141,1
229,73,1
25,137,1
86,232,1
168,15,1
15,104,1
76,139,1
223,152,1
81,186,1
72,174,1
117,40,1
1,165,0
73,156,1
181,249,1
3,77,0
199,162,1
99,75,1
62,146,1
91,167,1
225,59,1
118,221,1
117,240,1
157,33,1
127,27,1
57,1,0
161,196,1
171,190,1
230,234,1
199,150,1
76,57,1
179,213,1
166,156,1
205,147,1
46,91,1
224,62,1
68,33,1
179,133,1
30,107,1
79,27,1
111,98,1
146,173,1
93,157,1
169,32,1
8,180,1
16,10,0
195,67,1
129,123,1
233,118,1
172,27,1
146,44,1
0,176,1
34,83,1
58,55,1
106,137,1
129,1,1
107,247,1
105,156,1
188,223,1
51,74,1
53,53,1
71,117,1
30,39,1
14,208,1
94,111,1
48,25,1
172,85,1
116,53,1
9,4,0
152,167,1
149,178,1
47,64,1
21,188,1
51,196,1
88,54,1
23,89,1
147,242,1
191,23,1
109,51,1
